"","X","Date","Match.ID","Team.Name","Player.Name","Game..","Mode","Map.Name","Win.Team","Rnds.Won","K.D","Kills","Deaths","Assist","Total.Dmg","Shots.per.Kill","Kills.Min","Deaths.Min","Dmg.Min","Total.Time.Alive","Total.First.Bloods","Total.First.Bloods.Deaths","Total.Hill.Time","Total.Rotation.Kills","Total.Rotation.Deaths","Total.Tacticals.Used","Total.Objective.Tiers.Contributed","Total.Untraded.Kills","Total.Untraded.Deaths","Total.Traded.Kills","Total.Traded.Deaths","Total.Shots.Hit","Total.Shots.Head","Total.Game.Win","Total.Game.Loss","Rnd.Lost","Total.Game.Score","Total.Game.Plus.Minus","Total.Dmg.Dealt","Duration","Stage","Opponent.Name","Total.Opp.Game.Score"
"1",1,"6/18/2023",11478,"NY","HyDra",4,"S&D","Embassy","NY",6,0.5,4,8,3,707,23.75,0.27,0.53,47.13,415.488,2,1,"0",0,0,3,0,2,4,1,3,28,1,1,0,4,6,-2,"707",415,"Stage5","TOR",4
"2",2,"6/18/2023",11478,"NY","KiSMET",4,"S&D","Embassy","NY",6,3,15,5,0,1272,9,1,0.33,84.8,627.728,3,0,"0",0,0,5,0,12,4,0,0,50,9,1,0,4,6,-2,"1272",628,"Stage5","TOR",4
"3",3,"6/18/2023",11478,"NY","Priestahh",4,"S&D","Embassy","NY",6,0.8,4,5,3,864,22.25,0.27,0.33,57.6,614.496,0,2,"0",0,0,8,0,3,4,0,1,24,6,1,0,4,6,-2,"864",614,"Stage5","TOR",4
"4",4,"6/18/2023",11478,"NY","Skyz",4,"S&D","Embassy","NY",6,1.17,7,6,0,1050,11.57,0.47,0.4,70,591.216,2,0,"0",0,0,8,0,5,4,1,0,24,1,1,0,4,6,-2,"1050",591,"Stage5","TOR",4
"5",5,"6/18/2023",11478,"TOR","CleanX",4,"S&D","Embassy","NY",4,1.29,9,7,1,1062,15,0.6,0.47,70.8,568.784,1,1,"0",0,0,7,0,6,6,2,0,41,3,0,1,6,4,-2,"1062",569,"Stage5","NY",6
"6",6,"6/18/2023",11478,"TOR","Hicksy",4,"S&D","Embassy","NY",4,0.88,7,8,0,864,16.86,0.47,0.53,57.6,391.44,1,2,"0",0,0,7,0,4,6,1,1,39,5,0,1,6,4,-2,"864",391,"Stage5","NY",6
"7",7,"6/18/2023",11478,"TOR","Insight",4,"S&D","Embassy","NY",4,0.57,4,7,1,844,34.25,0.27,0.47,56.27,592.352,0,0,"0",0,0,6,0,3,3,0,1,31,4,0,1,6,4,-2,"844",592,"Stage5","NY",6
"8",8,"6/18/2023",11478,"TOR","Scrap",4,"S&D","Embassy","NY",4,0.5,4,8,0,707,26.25,0.27,0.53,47.13,381.168,1,4,"0",0,0,1,0,3,7,1,0,9,1,0,1,6,4,-2,"707",381,"Stage5","NY",6
"9",9,"6/18/2023",11478,"NY","HyDra",3,"Hardpoint","Breenbergh Hotel","NY",1,1.21,29,24,8,3359,15.28,2.64,2.18,305.36,517.008,0,1,"0",6,5,10,0,18,19,11,5,142,5,1,0,0,250,-14,"3359",517,"Stage5","TOR",4
"10",10,"6/18/2023",11478,"NY","KiSMET",3,"Hardpoint","Breenbergh Hotel","NY",1,0.96,23,24,8,2863,15.57,2.09,2.18,260.27,544.576,0,0,"0",10,3,16,0,18,15,5,9,103,13,1,0,0,250,-14,"2863",545,"Stage5","TOR",4
